Source Category,URL,Title,Product Code,Brand,Dimensions (HxDia),Discharge Range,Discharge Time,Operating Temperature,Working Pressure,Weight,Product Datasheets,Image File,Alternative Product Codes,Storage Temperature,Warranty,Capacity,Discharge Range (min),Extinguisher Agent,Dielectrical Test,1 unit,2+ units,5+ units,Dimensions (HxWxDia),Temperature Range,Operating Pressure,Dimensions (HxWxD),Extinguisher ID Sign,Approvals,Extinguisher Contents,Dimensions,Empty Weight,Fire Rating,Hose Length,Maximum Allowable Pressure,Test Pressure,Extinguisher Rating,Manufacturer Part Number,Minimum Burst Pressure,Weight (inc. Cylinder),Kit Contents,Component,"""First Aid in an Emergency"" booklet",Cleansing Wipes,Waterproof Low Allergy Plasters – Pk 10,Disposable Non-Sterile Triangular Bandage 90 x 90 x130cm,HSE Medium Dressing – 12 x 12cm,HSE Large Dressing – 18 x 18cm,SJS Nitrile Powder Free Gloves (pair) – Medium,St. John Ambulance Finger Dressing,Extinguisher Ratings,Case Dimensions (HxWxD),Weave,Dimensions (HxW),Space volume suitable for,Back-Up Battery,Input Voltage,Relative Humidity,Activation Alerts,Detection,Extinguishing Agent,Fire Control Area,Fire Suppression Area,Installation Time,Legionella Control,External Dimensions (HxWxD),Internal Dimensions (HxWxD),Number of Fire Resistant Pads,Battery Suitability,Fabric Weight,Fire Type Suitability,Independent Testing,Internal Exposure Test,Lifespan,Material,Maximum Temperature,PFAS-Free,Certification,Number of Sockets,Door Swing,Handle Depth,Shelves,Construction,Dimensions (HxL),Item,Waterproof Low Allergy Plasters - Pk 10,HSE Medium Dressing - 12 x 12cm,HSE Large Dressing - 18 x 18cm,SJS Nitrile Powder Free Gloves (pair) - Medium,Medium Dressing 12x12cm,Traumafix Dressing 10x18cm,Low-Adherent Dressing 7.5x7.5cm,Triangular Bandage,Washproof Plasters (assorted) 10pk,Sterile Moist Cleansing Wipes 10pk,Nitrile Powder Free Gloves (pair),Revive-aid (Resuscitation mask with valve),Disposable Heat Retaining Foil Blanket,Burnshield® Burns Dressing 10x10cm,Tuff-Kut Scissors,"""First Aid in an Emergency"" Booklet",Burnshield® Burn Blott sachets (3.5g),Sterile Cleansing Wipes,HSE Medium Dressing (12 x 12cm),HSE Large Dressing (18 x 18cm),Resuscitation Face Shield,Green Plastic Tweezers,Microporous Tape (1.25cm x 10m),No. 16 Sterile Eye Pad Dressing,Non-Sterile Triangular Bandage (90 x 90 x 130cm),Eye Wash Phials (20ml),Dimensions (L),Max. Extinguisher Dimensions,Suitability,Recyclable
All Fire Extinguishers,https://www.safelincs.co.uk/firechief-600g-and-800g-powder-fire-extinguishers/,"0.6kg & 0.8kg Powder Fire Extinguishers for Cars, Caravans and Travel - Firechief","600g: 
                  HSFMP600                
                              
                  800g: 
                  HSFMP800",FireChief,600g: 270 x 68mm800g: 275 x 76mm,3 metres,7 seconds,-30°C to +60°C,15 bar,HSFMP600: 1.3kgHSFMP800: 1.7kg,"Firechief ABC Powder Extinguishers PDS
            
              
  
  

Firechief ABC Powder Extinguishers SDS",06kg  08kg Powder Fire Extinguishers for Cars Caravans and Travel  Firechief.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fire Extinguishers,https://www.safelincs.co.uk/firechief-600g-and-800g-powder-fire-extinguishers/,"0.6kg & 0.8kg Powder Fire Extinguishers for Cars, Caravans and Travel - Firechief","600g: 
                  HSFMP600                
                              
                  800g: 
                  HSFMP800",FireChief,600g: 270 x 68mm800g: 275 x 76mm,3 metres,7 seconds,-30°C to +60°C,15 bar,HSFMP600: 1.3kgHSFMP800: 1.7kg,"Firechief ABC Powder Extinguishers PDS
            
              
  
  

Firechief ABC Powder Extinguishers SDS",06kg  08kg Powder Fire Extinguishers for Cars Caravans and Travel  Firechief.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fire Extinguishers,https://www.safelincs.co.uk/product_reviews.php?pid=5299,"0.6kg & 0.8kg Powder Fire Extinguishers for Cars, Caravans and Travel - Firechief",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fire Extinguishers,https://www.safelincs.co.uk/firechief-600g-and-800g-powder-fire-extinguishers/,"0.6kg & 0.8kg Powder Fire Extinguishers for Cars, Caravans and Travel - Firechief","600g: 
                  HSFMP600                
                              
                  800g: 
                  HSFMP800",FireChief,600g: 270 x 68mm800g: 275 x 76mm,3 metres,7 seconds,-30°C to +60°C,15 bar,HSFMP600: 1.3kgHSFMP800: 1.7kg,"Firechief ABC Powder Extinguishers PDS
            
              
  
  

Firechief ABC Powder Extinguishers SDS",06kg  08kg Powder Fire Extinguishers for Cars Caravans and Travel  Firechief.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fire Extinguishers,https://www.safelincs.co.uk/lith-safe-aerosol-fire-extinguisher/,Lithium Battery Fire Extinguisher - Lithco,DELTA500,,291 x 66 mm,Up to 2m,Up to 45 seconds,+5 to +50 °C,10 bar,0.72kg,"DELTA 500 MSDS
            
              
  
  

Delta500-Datasheet",Lithium Battery Fire Extinguisher  Lithco.jpg,DELTA500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fire Extinguishers,https://www.safelincs.co.uk/lith-safe-aerosol-fire-extinguisher/,Lithium Battery Fire Extinguisher - Lithco,DELTA500,,291 x 66 mm,Up to 2m,Up to 45 seconds,+5 to +50 °C,10 bar,0.72kg,"DELTA 500 MSDS
            
              
  
  

Delta500-Datasheet",Lithium Battery Fire Extinguisher  Lithco.jpg,DELTA500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fire Extinguishers,https://www.safelincs.co.uk/write_review.php?pid=6042,Lithium Battery Fire Extinguisher - Lithco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fire Extinguishers,https://www.safelincs.co.uk/lith-safe-aerosol-fire-extinguisher/,Lithium Battery Fire Extinguisher - Lithco,DELTA500,,291 x 66 mm,Up to 2m,Up to 45 seconds,+5 to +50 °C,10 bar,0.72kg,"DELTA 500 MSDS
            
              
  
  

Delta500-Datasheet",Lithium Battery Fire Extinguisher  Lithco.jpg,DELTA500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fire Extinguishers,https://www.safelincs.co.uk/compact-home-fire-extinguisher-kidde-flame-out/,500ml Compact Home Fire Extinguisher / Fire Fighting Spray - Kidde Flame Out,KEKFS500,Kidde,251 x 66mm,1.5 - 1.8 metres,30 seconds,,,0.50kg,"FLAME OUT DATA SHEET
            
              
  
  

Flame Out MSDS 
            
              
  
  

Flameout user manual",500ml Compact Home Fire Extinguisher  Fire Fighting Spray  Kidde Flame Out.jpg,KFS-500,-17°C to +50°C,2 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fire Extinguishers,https://www.safelincs.co.uk/compact-home-fire-extinguisher-kidde-flame-out/,500ml Compact Home Fire Extinguisher / Fire Fighting Spray - Kidde Flame Out,KEKFS500,Kidde,251 x 66mm,1.5 - 1.8 metres,30 seconds,,,0.50kg,"FLAME OUT DATA SHEET
            
              
  
  

Flame Out MSDS 
            
              
  
  

Flameout user manual",500ml Compact Home Fire Extinguisher  Fire Fighting Spray  Kidde Flame Out.jpg,KFS-500,-17°C to +50°C,2 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
